fips_code,county_name,state,fmr_2bed,vacancy_rate,total_housing_units,median_income,households_with_children
01001,Autauga County,AL,977,8.928065990052971,24731,69841,5155
01003,Baldwin County,AL,1206,26.358953609611106,128518,75019,16692
01005,Barbour County,AL,740,22.40642625192275,11702,44290,962
01007,Bibb County,AL,1075,16.710671067106713,9090,51215,1187
01009,Blount County,AL,1075,11.358044609365548,24793,61096,4405
01011,Bullock County,AL,820,24.176548089591567,4554,36723,402
01013,Butler County,AL,761,26.206686312366628,9841,44881,835
01015,Calhoun County,AL,802,15.29162208330987,53271,55826,6587
01017,Chambers County,AL,911,18.311316734644183,16427,49295,1670
01019,Cherokee County,AL,759,28.5480461024347,14663,50769,1580
01021,Chilton County,AL,755,10.90244645213684,19702,61873,3131
01023,Choctaw County,AL,740,27.77777777777778,7164,44483,639
01025,Clarke County,AL,740,27.92700605440437,11727,49167,978
01027,Clay County,AL,740,18.48133484162896,7072,51852,913
01029,Cleburne County,AL,741,14.650518021304537,6853,53319,913
01031,Coffee County,AL,803,14.504692815279316,24399,64672,3688
01033,Colbert County,AL,811,13.160253881737011,27887,56736,3523
01035,Conecuh County,AL,740,29.73308504034761,6444,42266,403
01037,Coosa County,AL,766,30.470043032108574,6042,57063,442
01039,Covington County,AL,740,22.387020775326622,18676,50886,2354
01041,Crenshaw County,AL,740,22.660774154221276,6562,49040,772
01043,Cullman County,AL,815,12.63341595427184,39538,60916,6892
01045,Dale County,AL,740,13.710170231340028,22910,53955,2743
01047,Dallas County,AL,790,18.644783365876826,18949,36810,1231
01049,DeKalb County,AL,740,15.9044501345088,30853,51149,5343
01051,Elmore County,AL,977,12.285290548739383,37085,75553,6159
01053,Escambia County,AL,740,23.73649979115699,16759,44447,1725
01055,Etowah County,AL,769,17.53532545749363,47487,53070,5822
01057,Fayette County,AL,740,22.403180302641704,7798,50733,977
01059,Franklin County,AL,740,16.985320443967062,13965,51493,2038
01061,Geneva County,AL,761,15.969733174034248,12555,50951,1865
01063,Greene County,AL,794,28.675434476279943,4258,31495,129
01065,Hale County,AL,1018,26.257652382219852,7514,41325,542
01067,Henry County,AL,740,26.958802316686704,9151,60135,1019
01069,Houston County,AL,761,14.45131996624744,49774,57531,6273
01071,Jackson County,AL,740,14.562245432915272,24797,49454,3308
01073,Jefferson County,AL,1075,13.126167046798173,309542,64589,39948
01075,Lamar County,AL,740,29.829745321514,7107,47447,843
01077,Lauderdale County,AL,811,13.446128434633156,44801,59082,5947
01079,Lawrence County,AL,795,14.180322517464255,15317,60040,2159
01081,Lee County,AL,992,12.340502393270459,77509,61123,12416
01083,Limestone County,AL,1029,7.970197990203968,43487,83534,9217
01085,Lowndes County,AL,977,13.79738968303294,4827,35160,321
01087,Macon County,AL,772,26.003725165562912,9664,45951,341
01089,Madison County,AL,1029,7.005935584314489,174709,83528,27779
01091,Marengo County,AL,740,22.58818745552506,9837,44205,797
01093,Marion County,AL,740,23.18451539983046,14156,50714,1615
01095,Marshall County,AL,740,13.406852712431677,41531,60946,6795
01097,Mobile County,AL,986,13.432715073916068,185413,58119,24107
01099,Monroe County,AL,740,27.440400274698323,10193,40225,576
01101,Montgomery County,AL,977,14.191060406998176,105799,58153,11740
01103,Morgan County,AL,795,8.992140977057627,53569,64858,7812
01105,Perry County,AL,799,19.338550870992176,3961,34368,271
01107,Pickens County,AL,740,20.398808159523263,8726,47014,786
01109,Pike County,AL,890,21.824609278094766,16124,47961,1546
01111,Randolph County,AL,740,26.755477088516173,12461,51551,1163
01113,Russell County,AL,945,13.610112237114524,27531,50046,3600
01117,Shelby County,AL,1075,5.93689774792137,90805,93543,20187
01115,St. Clair County,AL,1075,10.83611348178033,38667,78993,7817
01119,Sumter County,AL,897,24.71164480960657,6329,37981,286
01121,Talladega County,AL,754,14.094292803970223,38285,56249,4443
01123,Tallapoosa County,AL,790,27.948796098750385,22967,57185,2022
01125,Tuscaloosa County,AL,1018,15.199883421576724,102935,63947,16039
01127,Walker County,AL,740,17.82004631161098,30230,54509,3837
01129,Washington County,AL,883,26.961667095446362,7774,60503,987
01131,Wilcox County,AL,892,30.50432818968762,5314,42236,238
01133,Winston County,AL,740,28.853634352833495,13111,48032,1510
02013,Aleutians East Borough,AK,1234,14.991482112436117,1174,72692,86
