"GEO_ID","NAME","B11003_001E","B11003_001M","B11003_002E","B11003_002M","B11003_003E","B11003_003M","B11003_004E","B11003_004M","B11003_005E","B11003_005M","B11003_006E","B11003_006M","B11003_007E","B11003_007M","B11003_008E","B11003_008M","B11003_009E","B11003_009M","B11003_010E","B11003_010M","B11003_011E","B11003_011M","B11003_012E","B11003_012M","B11003_013E","B11003_013M","B11003_014E","B11003_014M","B11003_015E","B11003_015M","B11003_016E","B11003_016M","B11003_017E","B11003_017M","B11003_018E","B11003_018M","B11003_019E","B11003_019M","B11003_020E","B11003_020M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Married-couple family:","Margin of Error!!Total:!!Married-couple family:","Estimate!!Total:!!Married-couple family:!!With own children of the householder under 18 years:","Margin of Error!!Total:!!Married-couple family:!!With own children of the householder under 18 years:","Estimate!!Total:!!Married-couple family:!!With own children of the householder under 18 years:!!Under 6 years only","Margin of Error!!Total:!!Married-couple family:!!With own children of the householder under 18 years:!!Under 6 years only","Estimate!!Total:!!Married-couple family:!!With own children of the householder under 18 years:!!Under 6 years and 6 to 17 years","Margin of Error!!Total:!!Married-couple family:!!With own children of the householder under 18 years:!!Under 6 years and 6 to 17 years","Estimate!!Total:!!Married-couple family:!!With own children of the householder under 18 years:!!6 to 17 years only","Margin of Error!!Total:!!Married-couple family:!!With own children of the householder under 18 years:!!6 to 17 years only","Estimate!!Total:!!Married-couple family:!!No own children of the householder under 18 years","Margin of Error!!Total:!!Married-couple family:!!No own children of the householder under 18 years","Estimate!!Total:!!Other family:","Margin of Error!!Total:!!Other family:","Estimate!!Total:!!Other family:!!Male householder, no spouse present:","Margin of Error!!Total:!!Other family:!!Male householder, no spouse present:","Estimate!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:","Margin of Error!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:","Estimate!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years only","Margin of Error!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years only","Estimate!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years and 6 to 17 years","Margin of Error!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years and 6 to 17 years","Estimate!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:!!6 to 17 years only","Margin of Error!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:!!6 to 17 years only","Estimate!!Total:!!Other family:!!Male householder, no spouse present:!!No own children of the householder under 18 years","Margin of Error!!Total:!!Other family:!!Male householder, no spouse present:!!No own children of the householder under 18 years","Estimate!!Total:!!Other family:!!Female householder, no spouse present:","Margin of Error!!Total:!!Other family:!!Female householder, no spouse present:","Estimate!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:","Margin of Error!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:","Estimate!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years only","Margin of Error!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years only","Estimate!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years and 6 to 17 years","Margin of Error!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years and 6 to 17 years","Estimate!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:!!6 to 17 years only","Margin of Error!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:!!6 to 17 years only","Estimate!!Total:!!Other family:!!Female householder, no spouse present:!!No own children of the householder under 18 years","Margin of Error!!Total:!!Other family:!!Female householder, no spouse present:!!No own children of the householder under 18 years",
"0500000US01001","Autauga County, Alabama","15674","559","11861","633","5155","381","927","226","1015","240","3213","353","6706","556","3813","544","913","288","445","163","76","57","74","62","295","142","468","256","2900","444","1178","290","75","63","360","223","743","235","1722","333",
"0500000US01003","Baldwin County, Alabama","64593","1740","53118","1615","16692","1043","3319","603","2977","608","10396","967","36426","1315","11475","917","3082","520","1498","323","446","240","149","109","903","215","1584","395","8393","718","3817","565","829","282","405","178","2583","456","4576","567",
"0500000US01005","Barbour County, Alabama","5990","316","3572","287","962","173","171","88","249","115","542","133","2610","243","2418","312","465","135","168","96","89","90","0","25","79","59","297","102","1953","259","994","196","206","125","448","157","340","148","959","189",
"0500000US01007","Bibb County, Alabama","5264","330","3971","359","1187","238","179","115","176","74","832","219","2784","265","1293","288","434","154","166","80","27","23","39","41","100","74","268","127","859","226","523","183","147","137","27","38","349","152","336","122",
"0500000US01009","Blount County, Alabama","15625","512","12090","555","4405","408","618","140","1151","227","2636","356","7685","449","3535","457","1127","252","527","188","154","103","87","78","286","116","600","163","2408","375","1258","300","179","88","192","109","887","288","1150","261",
"0500000US01011","Bullock County, Alabama","2117","267","1066","210","402","130","89","70","44","45","269","124","664","175","1051","215","177","112","101","79","51","65","0","21","50","47","76","66","874","213","504","170","179","100","72","65","253","118","370","117",
"0500000US01013","Butler County, Alabama","4607","300","3176","256","835","183","91","50","141","72","603","166","2341","206","1431","234","281","106","67","62","24","35","0","21","43","49","214","86","1150","216","612","170","125","97","66","38","421","144","538","134",
"0500000US01015","Calhoun County, Alabama","28018","834","19403","798","6587","519","1184","240","1606","375","3797","446","12816","663","8615","710","2017","355","953","263","159","116","109","69","685","222","1064","246","6598","639","3373","468","734","249","790","261","1849","277","3225","532",
"0500000US01017","Chambers County, Alabama","8945","433","5723","461","1670","330","339","155","352","137","979","278","4053","337","3222","404","885","256","321","156","142","126","50","35","129","91","564","211","2337","378","749","242","103","91","292","168","354","154","1588","303",
"0500000US01019","Cherokee County, Alabama","6839","402","5430","390","1580","230","259","107","353","124","968","164","3850","328","1409","205","482","151","233","111","11","19","78","66","144","86","249","108","927","167","407","117","54","42","83","52","270","101","520","127",
"0500000US01021","Chilton County, Alabama","12072","554","8850","532","3131","387","575","159","636","175","1920","327","5719","395","3222","403","1140","283","620","248","99","73","241","213","280","162","520","198","2082","340","666","183","134","81","206","123","326","136","1416","288",
"0500000US01023","Choctaw County, Alabama","3212","268","2336","230","639","145","174","91","82","49","383","103","1697","200","876","130","134","62","40","44","0","21","0","21","40","44","94","45","742","125","332","117","184","100","13","15","135","65","410","133",
"0500000US01025","Clarke County, Alabama","5314","341","3617","313","978","196","274","107","113","61","591","167","2639","278","1697","262","469","171","204","125","19","31","42","49","143","112","265","105","1228","210","603","156","118","79","71","53","414","146","625","177",
"0500000US01027","Clay County, Alabama","4232","282","3257","322","913","228","197","108","312","104","404","159","2344","223","975","200","255","106","115","71","0","21","12","28","103","65","140","75","720","163","378","112","105","93","57","57","216","97","342","121",
"0500000US01029","Cleburne County, Alabama","3909","289","2998","247","913","184","231","97","169","91","513","141","2085","227","911","227","239","98","120","67","22","33","45","37","53","53","119","72","672","177","238","97","69","51","46","45","123","88","434","159",
"0500000US01031","Coffee County, Alabama","14012","427","10107","458","3688","364","727","177","740","178","2221","240","6419","392","3905","378","1017","207","623","159","160","89","58","40","405","150","394","118","2888","346","1513","245","327","133","270","115","916","207","1375","245",
"0500000US01033","Colbert County, Alabama","15427","690","10912","644","3523","431","719","162","707","202","2097","322","7389","445","4515","537","974","274","492","206","76","69","114","97","302","158","482","194","3541","409","1898","352","182","136","541","197","1175","306","1643","331",
"0500000US01035","Conecuh County, Alabama","2799","255","1873","237","403","110","122","62","60","48","221","86","1470","204","926","168","144","74","65","52","10","13","22","32","33","42","79","58","782","170","203","95","1","2","106","86","96","57","579","153",
"0500000US01037","Coosa County, Alabama","2735","272","1983","249","442","115","32","34","36","34","374","99","1541","198","752","173","185","94","44","40","0","21","10","21","34","34","141","83","567","146","208","118","57","80","22","26","129","72","359","128",
"0500000US01039","Covington County, Alabama","9579","422","7015","422","2354","238","397","124","538","124","1419","196","4661","362","2564","298","639","161","314","111","35","36","142","102","137","72","325","119","1925","266","912","176","313","106","123","46","476","148","1013","220",
"0500000US01041","Crenshaw County, Alabama","3111","192","2228","198","772","136","98","50","158","80","516","130","1456","164","883","151","273","84","96","63","25","27","0","21","71","56","177","70","610","130","259","77","32","34","44","30","183","69","351","106",
"0500000US01043","Cullman County, Alabama","24110","870","18653","908","6892","514","1419","371","1522","303","3951","447","11761","658","5457","655","1785","380","914","259","345","168","110","89","459","186","871","243","3672","523","1821","345","347","151","323","149","1151","290","1851","358",
"0500000US01045","Dale County, Alabama","12374","442","8551","550","2743","300","644","147","569","172","1530","229","5808","398","3823","357","655","149","344","105","97","55","46","31","201","82","311","101","3168","358","1795","277","261","116","425","134","1109","264","1373","255",
"0500000US01047","Dallas County, Alabama","8848","476","4796","435","1231","258","143","87","309","123","779","232","3565","333","4052","398","928","268","168","112","88","96","16","16","64","53","760","241","3124","362","1279","270","348","188","380","162","551","204","1845","292",
"0500000US01049","DeKalb County, Alabama","18309","562","14334","689","5343","496","1052","221","1090","226","3201","423","8991","488","3975","495","1182","270","716","194","162","101","83","75","471","138","466","174","2793","359","1216","249","160","90","124","67","932","241","1577","297",
"0500000US01051","Elmore County, Alabama","23736","727","17197","774","6159","502","1182","268","1439","320","3538","419","11038","571","6539","655","1341","295","407","159","75","64","39","37","293","145","934","267","5198","545","2645","416","418","199","439","195","1788","368","2553","404",
"0500000US01053","Escambia County, Alabama","8135","512","5725","458","1725","257","366","167","337","128","1022","219","4000","377","2410","322","413","141","161","102","58","83","24","36","79","57","252","104","1997","286","899","219","241","142","251","141","407","140","1098","244",
"0500000US01055","Etowah County, Alabama","25692","751","18290","764","5822","462","1141","263","1205","241","3476","413","12468","649","7402","668","1580","333","670","233","249","148","66","87","355","154","910","207","5822","623","2756","457","561","177","640","209","1555","376","3066","408",
"0500000US01057","Fayette County, Alabama","4097","256","3294","241","977","143","170","76","228","93","579","128","2317","235","803","172","131","61","55","46","2","4","0","21","53","46","76","39","672","148","258","102","65","55","26","37","167","82","414","138",
"0500000US01059","Franklin County, Alabama","7666","397","5815","462","2038","236","333","125","672","189","1033","185","3777","390","1851","337","418","159","129","63","21","25","41","37","67","50","289","142","1433","297","783","212","135","84","277","157","371","139","650","229",
"0500000US01061","Geneva County, Alabama","7091","361","5377","387","1865","250","238","89","492","200","1135","201","3512","308","1714","246","245","94","158","81","15","18","53","51","90","60","87","41","1469","239","503","165","136","83","129","59","238","101","966","191",
"0500000US01063","Greene County, Alabama","1695","265","909","226","129","75","43","44","18","27","68","71","780","186","786","179","87","75","34","53","33","53","0","19","1","2","53","45","699","161","217","103","59","78","17","28","141","79","482","165",
"0500000US01065","Hale County, Alabama","3050","267","1970","252","542","114","57","54","163","74","322","101","1428","229","1080","187","289","107","101","75","70","67","10","15","21","30","188","73","791","174","193","114","55","68","42","49","96","77","598","154",
"0500000US01067","Henry County, Alabama","4467","313","3500","281","1019","160","137","57","241","101","641","147","2481","245","967","180","271","110","107","76","16","21","8","12","83","73","164","79","696","146","231","85","28","30","75","54","128","65","465","134",
"0500000US01069","Houston County, Alabama","27734","549","18838","511","6273","348","1100","151","1477","201","3696","322","12565","454","8896","380","2187","261","979","170","236","111","156","67","587","108","1208","186","6709","293","3605","263","736","126","776","121","2093","186","3104","200",
"0500000US01071","Jackson County, Alabama","14103","583","10411","573","3308","337","600","188","846","271","1862","261","7103","446","3692","431","1158","211","409","160","46","55","122","133","241","89","749","183","2534","353","1137","218","82","60","272","118","783","189","1397","283",
"0500000US01073","Jefferson County, Alabama","163540","2471","107827","2527","39948","1332","10347","812","7659","705","21942","1084","67879","1994","55713","1798","11789","927","4042","627","944","289","680","239","2418","476","7747","699","43924","1610","21233","1232","4015","676","4012","524","13206","935","22691","1101",
"0500000US01075","Lamar County, Alabama","3430","242","2678","246","843","154","139","57","141","67","563","140","1835","190","752","179","140","75","31","28","11","16","0","21","20","20","109","68","612","162","304","104","54","42","109","83","141","66","308","125",
"0500000US01077","Lauderdale County, Alabama","24684","885","18296","942","5947","466","1162","242","1269","257","3516","412","12349","729","6388","755","1785","451","798","272","256","149","76","81","466","200","987","321","4603","601","1873","333","304","174","266","119","1303","257","2730","520",
"0500000US01079","Lawrence County, Alabama","8971","479","7009","457","2159","286","347","124","495","149","1317","252","4850","385","1962","302","525","171","209","95","23","29","26","37","160","78","316","137","1437","230","459","149","178","97","41","31","240","112","978","199",
